"","NAME","DISEASE_ONTOLOGY_ID","DESCRIPTION","LINK","HUMAN_PHENOTYPE_ID"
"251","transverse myelitis","DOID:0080743","A myelitis that is characterized by a band-like sensation across the trunk of the body, with sensory changes below.","http://purl.obolibrary.org/obo/DOID_0080743",""
"252","antisynthetase syndrome","DOID:0080744","An autoimmune disease that is characterized by myositis, arthralgia, Raynaud phenomenon, mechanic hands, interstitial lung disease, and serum autoantibodies to aminoacyl transfer RNA synthetases.","http://purl.obolibrary.org/obo/DOID_0080744",""
"253","polymyositis","DOID:0080745","A myositis that is characterized by muscle weakness affecting both sides of your body.","http://purl.obolibrary.org/obo/DOID_0080745",""
"254","Sweet syndrome","DOID:0080746","A skin disease that is characterized by sudden onset of well defined tender plaques or nodules accompanied by fever, arthralgias, ocular inflammation, headaches and, rarely, oral or genital lesions.","http://purl.obolibrary.org/obo/DOID_0080746",""
"255","chronic spontaneous urticaria","DOID:0080749","A chronic urticaria that is characterized by urticaria independent of any exogenous stimulus.","http://purl.obolibrary.org/obo/DOID_0080749",""
"256","human cytomegalovirus infection","DOID:0080827","A viral infectious disease that has_material_basis_in Human betaherpesvirus 5.","http://purl.obolibrary.org/obo/DOID_0080827",""
"257","laryngomalacia","DOID:0080833","A laryngeal disease that is characterized by inward collapse of flaccid supraglottic structures during inspiration. The most common symptom is noisy breathing (stridor) that is often worse when the infant is on his/her back or crying.","http://purl.obolibrary.org/obo/DOID_0080833",""
"258","TORCH syndrome","DOID:0080835","A syndrome that is characterized by congenital infection with toxoplasmosis, rubella, cytomegalovirus, herpes simplex, and other organisms.","http://purl.obolibrary.org/obo/DOID_0080835",""
"259","dermatomyositis","DOID:10223","A myositis that results_in inflammation located_in muscle or located_in skin where a skin rash is often seen prior to the onset of muscle weakness. The disease may result from either a viral infection or an autoimmune reaction.","http://purl.obolibrary.org/obo/DOID_10223",""
"260","Raynaud disease","DOID:10300","Raynaud disease","http://purl.obolibrary.org/obo/DOID_10300","HP:0030880"
"261","endocarditis","DOID:10314","A endocardium disease characterized by inflammation of the endocardium of the heart chambers and valves.","http://purl.obolibrary.org/obo/DOID_10314","HP:0100584"
"262","esophageal atresia","DOID:10485","esophageal atresia","http://purl.obolibrary.org/obo/DOID_10485","HP:0002032"
"263","kidney failure","DOID:1074","A kidney disease characterized by the failure of the kidneys to adequately filter waste products from the blood.","http://purl.obolibrary.org/obo/DOID_1074","HP:0000083"
"264","hemiplegia","DOID:10969","A central nervous system disease that is characterized by the complete paralysis of half of the body.","http://purl.obolibrary.org/obo/DOID_10969","HP:0002301"
"265","postinfectious encephalitis","DOID:10993","An encephalitis that is characterized by the immune system mistakenly attacking healthy cells in the brain instead of attacking only the cells causing the infection, often occuring two to three weeks after the initial infection.","http://purl.obolibrary.org/obo/DOID_10993",""
"266","hydronephrosis","DOID:11111","hydronephrosis","http://purl.obolibrary.org/obo/DOID_11111","HP:0000126"
"267","sarcoidosis","DOID:11335","A hypersensitivity reaction type IV disease characterized by the growth of collections of inflammatory cells (granulomas) in multiple organs.","http://purl.obolibrary.org/obo/DOID_11335",""
"268","optic neuritis","DOID:1210","An optic nerve disease that results_in inflammation located_in optic nerve which may cause a complete or partial loss of vision.","http://purl.obolibrary.org/obo/DOID_1210","HP:0100653"
"269","primary biliary cholangitis","DOID:12236","A liver cirrhosis characterized by chronic and slow progressive destruction of intrahepatic bile ducts.","http://purl.obolibrary.org/obo/DOID_12236","HP:0002613"
"270","vitiligo","DOID:12306","An autoimmune disease that causes depigmentation of patches of skin resulting from loss of function or death of melanoctyes.","http://purl.obolibrary.org/obo/DOID_12306","HP:0001045"
"271","Graves' disease","DOID:12361","An autoimmune disease of endocrine system that involves production of excessive amount of thyroid hormones, located_in thyroid gland.","http://purl.obolibrary.org/obo/DOID_12361","HP:0100647"
"272","spinal muscular atrophy","DOID:12377","A motor neuron disease that is a degenerative neuromuscular disease characterized by lower motor neuron degeneration associated with progressive muscle weakness and atrophy.","http://purl.obolibrary.org/obo/DOID_12377","HP:0007269"
"273","leukemia","DOID:1240","A cancer that affects the blood or bone marrow characterized by an abnormal proliferation of blood cells.","http://purl.obolibrary.org/obo/DOID_1240","HP:0001909"
"274","blood coagulation disease","DOID:1247","A hematopoietic system disease that is characterized by abnormal blood clotting or bleeding.","http://purl.obolibrary.org/obo/DOID_1247","HP:0001928"
"275","Guillain-Barre syndrome","DOID:12842","An autoimmune disease of peripheral nervous system that causes body's immune system to attack part of the peripheral nervous system.","http://purl.obolibrary.org/obo/DOID_12842",""
"276","dementia","DOID:1307","A cognitive disorder resulting from a loss of brain function affecting memory, thinking, language, judgement and behavior.","http://purl.obolibrary.org/obo/DOID_1307",""
"277","uveitis","DOID:13141","An uveal disease is characterized by inflammation of any of the layers of the uvea of the eye, which includes the iris, ciliary body, and choroid.","http://purl.obolibrary.org/obo/DOID_13141","HP:0000554"
"278","pernicious anemia","DOID:13381","A nutritional deficiency disease that is characterized by a decrease in red blood cells due to malabsorption of vitamin B12, has_symptom fatigue, pallor, shortness of breath, glossitis, ataxia, and/or paresthesia, has_material_basis_in atrophic gastritis, autoimmune disorder affecting the production or function of intrinsic factor, and/or genetic factors.","http://purl.obolibrary.org/obo/DOID_13381",""
"279","biliary atresia","DOID:13608","A cholestasis characterized by blockage of the ducts that carry bile from the liver to the gallbladder.","http://purl.obolibrary.org/obo/DOID_13608","HP:0005912"
"280","Addison's disease","DOID:13774","An adrenal cortical hypofunction that is characterized by insufficient steroid hormone production by the adrenal glands.","http://purl.obolibrary.org/obo/DOID_13774","HP:0008207"
"281","hypothyroidism","DOID:1459","A thyroid gland disease which involves an underproduction of thyroid hormone.","http://purl.obolibrary.org/obo/DOID_1459","HP:0000821"
"282","cystic fibrosis","DOID:1485","A syndrome that is characterized by the buildup of thick, sticky mucus that can damage many organs.","http://purl.obolibrary.org/obo/DOID_1485",""
"283","panniculitis","DOID:1526","A skin disease that is characterized by inflammation of subcutaneous adipose tissue.","http://purl.obolibrary.org/obo/DOID_1526","HP:0012490"
"284","alcohol use disorder","DOID:1574","A substance abuse that involves the recurring use of alcoholic beverages despite negative consequences.","http://purl.obolibrary.org/obo/DOID_1574",""
"285","mental depression","DOID:1596","mental depression","http://purl.obolibrary.org/obo/DOID_1596",""
"286","cancer","DOID:162","A disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis.","http://purl.obolibrary.org/obo/DOID_162","HP:0002664"
"287","congenital heart disease","DOID:1682","congenital heart disease","http://purl.obolibrary.org/obo/DOID_1682","HP:0001627"
"288","ichthyosis","DOID:1697","A skin disease characterized by drying and scaling of skin with the accumulation of thick scales and cracks that may be painful or bleed.","http://purl.obolibrary.org/obo/DOID_1697","HP:0008064"
"289","musculoskeletal system disease","DOID:17","A disease of anatomical entity that occurs in the muscular and/or skeletal system.","http://purl.obolibrary.org/obo/DOID_17",""
"290","epilepsy","DOID:1826","A brain disease that is characterized by the occurrance of at least two unprovoked seizures resulting from a persistent epileptogenic abnormality of the brain that is able to spontaneously generate paroxysmal activity and typically manifested by sudden brief episodes of altered or diminished consciousness, involuntary movements, or convulsions.","http://purl.obolibrary.org/obo/DOID_1826","HP:0001250"
"291","cerebral palsy","DOID:1969","A brain disease that is caused by damage to the motor control centers of the developing brain during pregnancy, during childbirth or after birth, which affects muscle movement and balance.","http://purl.obolibrary.org/obo/DOID_1969","HP:0100021"
"292","anxiety disorder","DOID:2030","A cognitive disorder that involves an excessive, irrational dread of everyday situations.","http://purl.obolibrary.org/obo/DOID_2030",""
"293","autoimmune hepatitis","DOID:2048","An autoimmune disease of gastrointestinal tract that results_in inflammation located_in liver caused by the body's immune system attacking the liver cells.","http://purl.obolibrary.org/obo/DOID_2048",""
"294","anemia","DOID:2355","A hematopoietic system disease that is characterized by a decrease in the normal number of red blood cells.","http://purl.obolibrary.org/obo/DOID_2355","HP:0001903"
"295","psychotic disorder","DOID:2468","A cognitive disorder that involves abnormal thinking and perceptions resulting in a disconnection with reality.","http://purl.obolibrary.org/obo/DOID_2468",""
"296","hematologic cancer","DOID:2531","An organ system cancer located in the hematological system that is characterized by uncontrolled cellular proliferation in blood, bone marrow and lymph nodes.","http://purl.obolibrary.org/obo/DOID_2531","HP:0004377"
"297","relapsing polychondritis","DOID:2556","A chondromalacia that is characterized by recurrent inflammation of cartilage and other tissues throughout the body.","http://purl.obolibrary.org/obo/DOID_2556",""
"298","critical COVID-19","DOID:0081012","http://purl.obolibrary.org/obo/DOID_0081012;https://www.who.int/publications/i/item/WHO-2019-nCoV-clinical-2021-1","",""
"299","non-severe COVID-19","DOID:0081014","http://purl.obolibrary.org/obo/DOID_0081014;https://www.who.int/publications/i/item/WHO-2019-nCoV-clinical-2021-1","",""
"300","severe COVID-19","DOID:0081013","http://purl.obolibrary.org/obo/DOID_0081013;https://www.who.int/publications/i/item/WHO-2019-nCoV-clinical-2021-1","",""
"301","Radiation Exposure","NCIT:C61398","http://purl.obolibrary.org/obo/NCIT_C61398","",""
"302","Angina","NCIT:C51221","Paroxysms of chest pain due to reduced oxygen to the heart. (UMLS CUI:C0002962)","http://purl.obolibrary.org/obo/NCIT_C51221",""
"303","Bilateral pleural effusion (disorder)","SNOMEDCT:425802001","Bilateral pleural effusion (disorder) (UMLS CUI:C0747635)","http://purl.bioontology.org/ontology/SNOMEDCT/425802001",""
"304","Chronic Liver Disease","NCIT:C113609","Hepatic necrosis, inflammation, or scarring due to any cause that persists for more than 6 months. Manifestations may include signs and symptoms of cholestasis, portal hypertension, and/or abnormal liver function tests. (UMLS CUI:C0341439)","http://purl.obolibrary.org/obo/NCIT_C113609",""
"305","Chronic Sinusitis","NCIT:C35151","Inflammation of the paranasal sinuses that typically lasts beyond eight weeks. It is caused by infections, allergies, and the presence of sinus polyps or deviated septum. Signs and symptoms include headache, nasal discharge, swelling in the face, dizziness, and breathing difficulties. (UMLS CUI:C0149516)","http://purl.obolibrary.org/obo/NCIT_C35151",""
"306","Dementia with psychosis","UMLS CUI:C0543884","Dementia with psychosis (UMLS CUI:C0543884)","",""
"307","Dependence on peritoneal dialysis due to end stage renal disease","SNOMEDCT:428937001","Dependence on peritoneal dialysis due to end stage renal disease (UMLS CUI:C1997877)","http://purl.bioontology.org/ontology/SNOMEDCT/428937001",""
"308","Failure to Thrive","NCIT:C107587","A clinical finding indicating less than normal growth in an infant or child, or a state of global decline in an adult. (UMLS CUI:C0015544)","http://purl.obolibrary.org/obo/NCIT_C107587",""
"309","Heart Failure","NCIT:C50577","Inability of the heart to pump blood at an adequate rate to meet tissue metabolic requirements. Clinical symptoms of heart failure include: unusual dyspnea on light exertion, recurrent dyspnea occurring in the supine position, fluid retention or rales, jugular venous distension, pulmonary edema on physical exam, or pulmonary edema on chest x-ray presumed to be cardiac dysfunction. (UMLS CUI:C0018801)","http://purl.obolibrary.org/obo/NCIT_C50577",""
"310","Hypertension not adequately controlled","UMLS CUI:C0857354","Hypertension not adequately controlled (UMLS CUI:C0857354)","",""
"311","Hyponatremia","NCIT:C37976","Lower than normal levels of sodium in the circulating blood. (UMLS CUI:C0020625)","http://purl.obolibrary.org/obo/NCIT_C37976",""
"312","Immunocompromised","NCIT:C14139","A loss of any arm of immune functions, resulting in potential or actual increase in infections. This state may be reached secondary to specific genetic lesions, syndromes with unidentified or polygenic causes, acquired deficits from other disease states, or as result of therapy for other diseases or conditions. (UMLS CUI:C2186379)","http://purl.obolibrary.org/obo/NCIT_C14139",""
"313","Irritable bowel syndrome with diarrhea","SNOMEDCT:197125005","Irritable bowel syndrome with diarrhea (UMLS CUI:C0348898)","http://purl.bioontology.org/ontology/SNOMEDCT/197125005",""
"314","Malignant Gastric Neoplasm","NCIT:C9331","A primary or metastatic malignant neoplasm involving the stomach. (UMLS CUI:C0024623)","http://purl.obolibrary.org/obo/NCIT_C9331",""
"315","Malignant Lung Neoplasm","NCIT:C7377","A primary or metastatic malignant neoplasm involving the lung. (UMLS CUI:C0242379)","http://purl.obolibrary.org/obo/NCIT_C7377",""
"316","Multiple Pulmonary Nodules","NCIT:C122408","Multiple, small, round or oval, benign or malignant growths in the lung(s), which can be due to infectious, inflammatory, or neoplastic processes. (UMLS CUI:C0748164)","http://purl.obolibrary.org/obo/NCIT_C122408",""
"317","Nephrostomy tube (physical object)","SNOMEDCT:286628000","Nephrostomy tube (physical object) (UMLS CUI:C0184149)","http://purl.bioontology.org/ontology/SNOMEDCT/286628000",""
"318","Partial Small Intestine Resection","NCIT:C51512","Surgical removal of part of the small intestine. (UMLS CUI:C0192616)","http://purl.obolibrary.org/obo/NCIT_C51512",""
"319","Pleural effusions, chronic","UMLS CUI:C0747636","Pleural effusions, chronic (UMLS CUI:C0747636)","",""
"320","Psychiatric Disorder","NCIT:C2893","A disorder characterized by behavioral and/or psychological abnormalities, often accompanied by physical symptoms. The symptoms may cause clinically significant distress or impairment in social and occupational areas of functioning. Representative examples include anxiety disorders, cognitive disorders, mood disorders and schizophrenia. (UMLS CUI:C1658764)","http://purl.obolibrary.org/obo/NCIT_C2893",""
"321","Recurrent urinary tract infections","HP:0000010","Repeated infections of the urinary tract. (UMLS CUI:C0262655)","http://purl.obolibrary.org/obo/HP_0000010","HP:0000010"
"322","Shoulder Dislocation","NCIT:C35020","A dislocation of the shoulder joint. (UMLS CUI:C0037005)","http://purl.obolibrary.org/obo/NCIT_C35020",""
"323","alcohol dependence","DOID:0050741","A substance dependence that is characterized by tolerance, withdrawal symptoms, increasing use, persistent desire to decrease consumption, time spent obtaining or recovering from alcohol caused by a physical and psychological dependence on alcohol. (UMLS CUI:C0001973)","http://purl.obolibrary.org/obo/DOID_0050741",""
"324","aspiration pneumonia","DOID:0050152","A bacterial pneumonia which is an acute pulmonary inflammatory response that develops after the inhalation of colonized oropharyngeal material containing bacteria. It is seen in individuals with dysphagia and gastric dysmotility. The disease has_symptom tachypnea and has_symptom cough. (UMLS CUI:C0032290)","http://purl.obolibrary.org/obo/DOID_0050152",""
"325","atrial fibrillation","DOID:0060224","A heart conduction disease that is characterized by uncoordinated electrical activity in the heart's upper chambers (the atria), which causes the heartbeat to become fast and irregular and has symptoms palpitations, weakness, fatigue, lightheadedness, dizziness, confusion, shortness of breath and chest pain. (UMLS CUI:C0004238)","http://purl.obolibrary.org/obo/DOID_0060224",""
"326","bronchiectasis","DOID:9563","A bronchial disease that is a chronic inflammatory condition of one or more bronchi or bronchioles marked by dilatation and loss of elasticity of the walls resulting from damage to the airway wall leading to the formation of small sacs on the bronchial wall and impairment of cilia mobility in the lung. Inflammation of the bronchial wall increases mucus secretion which serves as a breeding ground for bacteria. Bronchiectasis is caused by repeated respiratory infections, immune deficiency disorders, hereditary disorders (cystic fibrosis or primary ciliary dyskinesia), mechanical factors (inhaled object or a lung tumor) or inhaling toxic substances. (UMLS CUI:C0006267)","http://purl.obolibrary.org/obo/DOID_9563",""
"327","chronic kidney disease","DOID:784","A kidney failure that is characterized by the gradual loss of kidney function. (UMLS CUI:C1561643)","http://purl.obolibrary.org/obo/DOID_784",""
"328","diverticulitis","DOID:7475","An intestinal disease characterized by the formation and inflammation of diverticula within the bowel wall. (UMLS CUI:C0012813)","http://purl.obolibrary.org/obo/DOID_7475",""
"329","hepatitis","DOID:2237","(UMLS CUI:C0267797)","http://purl.obolibrary.org/obo/DOID_2237",""
"330","lupus erythematosus","DOID:8857","An autoimmune disease that is characterized by a constellation of findings that include elevated antibodies to nuclear antigens, antiphospholipids, low complement levels, ulcers, non-scarring alopecia, renal or neurologic damage, and low white blood cell and platelet counts, has_symptom rashes, fatigue, arthritis, hair loss, seizures, and symptoms related to affected organs. (UMLS CUI:C0409974)","http://purl.obolibrary.org/obo/DOID_8857",""
"331","mitral valve insufficiency","DOID:11502","(UMLS CUI:C0026266)","http://purl.obolibrary.org/obo/DOID_11502",""
"332","multiple myeloma","DOID:9538","A myeloid neoplasm that is located_in the plasma cells in bone marrow. (UMLS CUI:C0026764)","http://purl.obolibrary.org/obo/DOID_9538",""
"333","neuromuscular disease","DOID:440","A neuropathy that affect the nerves that control the voluntary muscles. (UMLS CUI:C0027868)","http://purl.obolibrary.org/obo/DOID_440",""
"334","pancreatic cancer","DOID:1793","An endocrine gland cancer located_in the pancreas. (UMLS CUI:C0235974)","http://purl.obolibrary.org/obo/DOID_1793",""
"335","portal vein thrombosis","DOID:11695","A hepatic vascular disease that is characterized by a blood clot that forms within the hepatic portal vein. (UMLS CUI:C0155773)","http://purl.obolibrary.org/obo/DOID_11695",""
"336","substance-related disorder","DOID:303","A disease of mental health involving the abuse or dependence on a substance that is ingested in order to produce a high, alter one's senses, or otherwise affect functioning. (UMLS CUI:C0038586)","http://purl.obolibrary.org/obo/DOID_303",""
"337","Peritoneal Dialysis","NCIT:C15297","A form of dialysis that uses the peritoneum as a membrane across which the infused diasylate exchanges nutrients for waste products that are removed when the fluid is exchanged. (UMLS CUI:C0031139)","http://purl.obolibrary.org/obo/NCIT_C15297",""
"338","kidney disease","DOID:557","A urinary system disease that is located in the kidney.","http://purl.obolibrary.org/obo/DOID_557",""
"339","cirrhosis","DOID:5082","liver cirrhosis","http://purl.obolibrary.org/obo/DOID_5082",""
"340","SARS-CoV-2 Wuhan/2020","DOID:0080600","SARS-CoV-2 Wuhan/2020","https://www.ncbi.nlm.nih.gov/nuccore/MN908947",""
"341","SARS-CoV-2 Alpha; B.1.1.7","DOID:0080600","SARS-CoV-2 Alpha; B.1.1.7","https://cov-lineages.org/lineage.html?lineage=B.1.1.7",""
"342","SARS-CoV-2 Beta; B.1.351","DOID:0080600","SARS-CoV-2 Beta; B.1.351","https://cov-lineages.org/lineage.html?lineage=B.1.351",""
"343","SARS-CoV-2 Gamma; P.1","DOID:0080600","SARS-CoV-2 Gamma; P.1","https://cov-lineages.org/lineage.html?lineage=P.1",""
"344","SARS-CoV-2 Delta; B.1.617.2","DOID:0080600","SARS-CoV-2 Delta; B.1.617.2","https://cov-lineages.org/lineage.html?lineage=B.1.617.2",""
"345","SARS-CoV-2 Omicron varient BA.1","DOID:0080600","SARS-CoV-2 Omicron varient BA.1","https://cov-lineages.org/lineage.html?lineage=BA.1",""
"346","SARS-CoV-2 Omicron variant BA.2","DOID:0080600","SARS-CoV-2 Omicron variant BA.2","https://cov-lineages.org/lineage.html?lineage=BA.2",""
"347","SARS-CoV-2 Omicron variant BA.4","DOID:0080600","SARS-CoV-2 Omicron variant BA.4","https://cov-lineages.org/lineage.html?lineage=BA.3",""
"348","SARS-CoV-2 Omicron variant BA.5","DOID:0080600","SARS-CoV-2 Omicron variant BA.5","https://cov-lineages.org/lineage.html?lineage=BA.5",""
"349","SARS-CoV-2 Mu; B.1.621","DOID:0080600","SARS-CoV-2 Mu; B.1.621","https://cov-lineages.org/lineage.html?lineage=B.1.621",""
"350","SARS-CoV-2 Lambda; C.37","DOID:0080600","SARS-CoV-2 Lambda; C.37","https://cov-lineages.org/lineage.html?lineage=C.37",""
"351","SARS-CoV-2 WA1/2020 (D614G variant)","DOID:0080600","SARS-CoV-2 WA1/2020 (D614G variant)","https://www.ncbi.nlm.nih.gov/biosample/SAMN18527778",""
"352","SARS-CoV-2 Omicron; B.1.1.529","DOID:0080600","SARS-CoV-2 Omicron; B.1.1.529","https://cov-lineages.org/lineage.html?lineage=B.1.1.529",""
"353","SARS-like coronavirus WIV1","DOID:0080600","SARS-like coronavirus WIV1","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1415852",""
"354","SARS-CoV-2 Zeta; P.2","DOID:0080600","SARS-CoV-2 Zeta; P.2","https://cov-lineages.org/lineage.html?lineage=P.2",""
"355","SARS-CoV-2","DOID:0080600","SARS-CoV-2","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=2697049",""
"356","SARS-CoV-2 Omicron variant BA.1","DOID:0080600","SARS-CoV-2 Omicron variant BA.1","https://cov-lineages.org/lineage.html?lineage=BA.1",""
"357","Solid Organ Transplant Recipient","NCIT:C130200","An individual who is receiving a transplant of a solid organ.","http://purl.obolibrary.org/obo/NCIT_C130200",""
"358","MERS-CoV","SNOMEDCT:697932005","Middle East respiratory syndrome coronavirus","http://purl.bioontology.org/ontology/SNOMEDCT/697932005",""
"359","SARS-CoV","DOID:2945","severe acute respiratory syndrome","http://purl.obolibrary.org/obo/DOID_2945",""
"360","common variable immunodeficiency","DOID:12177","An agammaglobulinemia that is results in insufficient production of antibodies needed to respond to exposure of pathogens and is characterized by low Ig levels with phenotypically normal B cells that can proliferate but do not develop into Ig-producing cells.","http://purl.obolibrary.org/obo/DOID_12177",""
"361","inflammatory bowel disease","DOID:0050589","An intestinal disease characterized by inflammation located in all parts of digestive tract.","http://purl.obolibrary.org/obo/DOID_0050589",""
"362","neurofibromatosis 1","DOID:0111253","A neurofibromatosis classically characterized by cafe-au-lait spots, Lisch nodules in the eye, and fibromatous tumors of the skin or in some cases by a high load of spinal tumors that has_material_basis_in heterozygous mutation in NF1 on 17q11.2.","http://purl.obolibrary.org/obo/DOID_0111253",""
"363","post-traumatic stress disorder","DOID:2055","An anxiety disorder which results from a traumatic experience that results in psychological trauma.","http://purl.obolibrary.org/obo/DOID_2055",""
"364","Pediatric acute-onset neuropsychiatric syndrome","C000631768","PANS pediatric acute-onset neuropsychiatric syndrome","http://purl.bioontology.org/ontology/MESH/C000631768","C000631768"
"365","Small for Gestational Age","NCIT:C114934","Smaller than normal size according to sex and gestational age related norms, defined as a weight below the 10th percentile for the gestational age (UMLS CUI: C0235991).","http://purl.obolibrary.org/obo/NCIT_C114934","HP:0001518"
"366","pneumonia","DOID:552","A lung disease that involves lung parenchyma or alveolar inflammation and abnormal alveolar filling with fluid (consolidation and exudation).","http://purl.obolibrary.org/obo/DOID_552",""
