"","EXPSAMPLE_ACCESSION","REAGENT_ACCESSION"
"1","ES768711","ESR11386"
"2","ES768711","ESR11387"
"3","ES768711","ESR11388"
"4","ES768712","ESR11386"
"5","ES768712","ESR11387"
"6","ES768712","ESR11388"
"7","ES768713","ESR11386"
"8","ES768713","ESR11387"
"9","ES768713","ESR11388"
"10","ES768714","ESR11386"
"11","ES768714","ESR11387"
"12","ES768714","ESR11388"
"13","ES768715","ESR11386"
"14","ES768715","ESR11387"
"15","ES768715","ESR11388"
"16","ES768716","ESR11386"
"17","ES768716","ESR11387"
"18","ES768716","ESR11388"
"19","ES768717","ESR11386"
"20","ES768717","ESR11387"
"21","ES768717","ESR11388"
"22","ES768718","ESR11386"
"23","ES768718","ESR11387"
"24","ES768718","ESR11388"
"25","ES768719","ESR11386"
"26","ES768719","ESR11387"
"27","ES768719","ESR11388"
"28","ES768720","ESR11386"
"29","ES768720","ESR11387"
"30","ES768720","ESR11388"
"31","ES768721","ESR11386"
"32","ES768721","ESR11387"
"33","ES768721","ESR11388"
"34","ES768722","ESR11386"
"35","ES768722","ESR11387"
"36","ES768722","ESR11388"
"37","ES768723","ESR11386"
"38","ES768723","ESR11387"
"39","ES768723","ESR11388"
"40","ES768724","ESR11386"
"41","ES768724","ESR11387"
"42","ES768724","ESR11388"
"43","ES768725","ESR11386"
"44","ES768725","ESR11387"
"45","ES768725","ESR11388"
"46","ES768726","ESR11386"
"47","ES768726","ESR11387"
"48","ES768726","ESR11388"
"49","ES768727","ESR11386"
"50","ES768727","ESR11387"
"51","ES768727","ESR11388"
"52","ES768728","ESR11386"
"53","ES768728","ESR11387"
"54","ES768728","ESR11388"
"55","ES768729","ESR11386"
"56","ES768729","ESR11387"
"57","ES768729","ESR11388"
"58","ES768730","ESR11386"
"59","ES768730","ESR11387"
"60","ES768730","ESR11388"
"61","ES768731","ESR11386"
"62","ES768731","ESR11387"
"63","ES768731","ESR11388"
"64","ES768732","ESR11386"
"65","ES768732","ESR11387"
"66","ES768732","ESR11388"
"67","ES768733","ESR11386"
"68","ES768733","ESR11387"
"69","ES768733","ESR11388"
"70","ES768734","ESR11386"
"71","ES768734","ESR11387"
"72","ES768734","ESR11388"
"73","ES768735","ESR11386"
"74","ES768735","ESR11387"
"75","ES768735","ESR11388"
"76","ES768736","ESR11386"
"77","ES768736","ESR11387"
"78","ES768736","ESR11388"
"79","ES768737","ESR11386"
"80","ES768737","ESR11387"
"81","ES768737","ESR11388"
"82","ES768738","ESR11386"
"83","ES768738","ESR11387"
"84","ES768738","ESR11388"
"85","ES768739","ESR11386"
"86","ES768739","ESR11387"
"87","ES768739","ESR11388"
"88","ES768740","ESR11386"
"89","ES768740","ESR11387"
"90","ES768740","ESR11388"
"91","ES768741","ESR11386"
"92","ES768741","ESR11387"
"93","ES768741","ESR11388"
"94","ES768742","ESR11386"
"95","ES768742","ESR11387"
"96","ES768742","ESR11388"
"97","ES768743","ESR11386"
"98","ES768743","ESR11387"
"99","ES768743","ESR11388"
"100","ES768744","ESR11386"
"101","ES768744","ESR11387"
"102","ES768744","ESR11388"
"103","ES768745","ESR11386"
"104","ES768745","ESR11387"
"105","ES768745","ESR11388"
"106","ES768746","ESR11386"
"107","ES768746","ESR11387"
"108","ES768746","ESR11388"
"109","ES768747","ESR11386"
"110","ES768747","ESR11387"
"111","ES768747","ESR11388"
"112","ES768748","ESR11386"
"113","ES768748","ESR11387"
"114","ES768748","ESR11388"
"115","ES768749","ESR11386"
"116","ES768749","ESR11387"
"117","ES768749","ESR11388"
"118","ES768750","ESR11386"
"119","ES768750","ESR11387"
"120","ES768750","ESR11388"
"121","ES768751","ESR11386"
"122","ES768751","ESR11387"
"123","ES768751","ESR11388"
"124","ES768752","ESR11386"
"125","ES768752","ESR11387"
"126","ES768752","ESR11388"
"127","ES768753","ESR11386"
"128","ES768753","ESR11387"
"129","ES768753","ESR11388"
"130","ES768754","ESR11386"
"131","ES768754","ESR11387"
"132","ES768754","ESR11388"
"133","ES768755","ESR11386"
"134","ES768755","ESR11387"
"135","ES768755","ESR11388"
"136","ES768756","ESR11386"
"137","ES768756","ESR11387"
"138","ES768756","ESR11388"
"139","ES768757","ESR11386"
"140","ES768757","ESR11387"
"141","ES768757","ESR11388"
"142","ES768758","ESR11386"
"143","ES768758","ESR11387"
"144","ES768758","ESR11388"
"145","ES768759","ESR11386"
"146","ES768759","ESR11387"
"147","ES768759","ESR11388"
"148","ES768760","ESR11386"
"149","ES768760","ESR11387"
"150","ES768760","ESR11388"
"151","ES768761","ESR11386"
"152","ES768761","ESR11387"
"153","ES768761","ESR11388"
"154","ES768762","ESR11386"
"155","ES768762","ESR11387"
"156","ES768762","ESR11388"
"157","ES768763","ESR11386"
"158","ES768763","ESR11387"
"159","ES768763","ESR11388"
"160","ES768764","ESR11386"
"161","ES768764","ESR11387"
"162","ES768764","ESR11388"
"163","ES768765","ESR11386"
"164","ES768765","ESR11387"
"165","ES768765","ESR11388"
"166","ES768766","ESR11386"
"167","ES768766","ESR11387"
"168","ES768766","ESR11388"
"169","ES768767","ESR11386"
"170","ES768767","ESR11387"
"171","ES768767","ESR11388"
"172","ES768768","ESR11386"
"173","ES768768","ESR11387"
"174","ES768768","ESR11388"
"175","ES768769","ESR11386"
"176","ES768769","ESR11387"
"177","ES768769","ESR11388"
"178","ES768770","ESR11386"
"179","ES768770","ESR11387"
"180","ES768770","ESR11388"
"181","ES768771","ESR11386"
"182","ES768771","ESR11387"
"183","ES768771","ESR11388"
"184","ES768772","ESR11386"
"185","ES768772","ESR11387"
"186","ES768772","ESR11388"
"187","ES768773","ESR11386"
"188","ES768773","ESR11387"
"189","ES768773","ESR11388"
"190","ES768774","ESR11386"
"191","ES768774","ESR11387"
"192","ES768774","ESR11388"
"193","ES768775","ESR11386"
"194","ES768775","ESR11387"
"195","ES768775","ESR11388"
"196","ES768776","ESR11386"
"197","ES768776","ESR11387"
"198","ES768776","ESR11388"
"199","ES768777","ESR11386"
"200","ES768777","ESR11387"
"201","ES768777","ESR11388"
"202","ES768778","ESR11386"
"203","ES768778","ESR11387"
"204","ES768778","ESR11388"
"205","ES768779","ESR11386"
"206","ES768779","ESR11387"
"207","ES768779","ESR11388"
"208","ES768780","ESR11386"
"209","ES768780","ESR11387"
"210","ES768780","ESR11388"
"211","ES768781","ESR11386"
"212","ES768781","ESR11387"
"213","ES768781","ESR11388"
"214","ES768782","ESR11386"
"215","ES768782","ESR11387"
"216","ES768782","ESR11388"
"217","ES768783","ESR11386"
"218","ES768783","ESR11387"
"219","ES768783","ESR11388"
"220","ES768784","ESR11386"
"221","ES768784","ESR11387"
"222","ES768784","ESR11388"
"223","ES768785","ESR11386"
"224","ES768785","ESR11387"
"225","ES768785","ESR11388"
"226","ES768786","ESR11386"
"227","ES768786","ESR11387"
"228","ES768786","ESR11388"
"229","ES768787","ESR11386"
"230","ES768787","ESR11387"
"231","ES768787","ESR11388"
"232","ES768788","ESR11386"
"233","ES768788","ESR11387"
"234","ES768788","ESR11388"
"235","ES768789","ESR11386"
"236","ES768789","ESR11387"
"237","ES768789","ESR11388"
"238","ES768790","ESR11386"
"239","ES768790","ESR11387"
"240","ES768790","ESR11388"
"241","ES768791","ESR11386"
"242","ES768791","ESR11387"
"243","ES768791","ESR11388"
"244","ES768792","ESR11386"
"245","ES768792","ESR11387"
"246","ES768792","ESR11388"
"247","ES768793","ESR11386"
"248","ES768793","ESR11387"
"249","ES768793","ESR11388"
"250","ES768794","ESR11386"
"251","ES768794","ESR11387"
"252","ES768794","ESR11388"
"253","ES768795","ESR11386"
"254","ES768795","ESR11387"
"255","ES768795","ESR11388"
"256","ES768796","ESR11386"
"257","ES768796","ESR11387"
"258","ES768796","ESR11388"
"259","ES768797","ESR11386"
"260","ES768797","ESR11387"
"261","ES768797","ESR11388"
"262","ES768798","ESR11386"
"263","ES768798","ESR11387"
"264","ES768798","ESR11388"
"265","ES768799","ESR11386"
"266","ES768799","ESR11387"
"267","ES768799","ESR11388"
"268","ES768800","ESR11386"
"269","ES768800","ESR11387"
"270","ES768800","ESR11388"
"271","ES768801","ESR11386"
"272","ES768801","ESR11387"
"273","ES768801","ESR11388"
"274","ES768802","ESR11386"
"275","ES768802","ESR11387"
"276","ES768802","ESR11388"
"277","ES768803","ESR11386"
"278","ES768803","ESR11387"
"279","ES768803","ESR11388"
"280","ES768804","ESR11386"
"281","ES768804","ESR11387"
"282","ES768804","ESR11388"
"283","ES768805","ESR11386"
"284","ES768805","ESR11387"
"285","ES768805","ESR11388"
"286","ES768806","ESR11386"
"287","ES768806","ESR11387"
"288","ES768806","ESR11388"
"289","ES768807","ESR11386"
"290","ES768807","ESR11387"
"291","ES768807","ESR11388"
"292","ES768808","ESR11386"
"293","ES768808","ESR11387"
"294","ES768808","ESR11388"
"295","ES768809","ESR11386"
"296","ES768809","ESR11387"
"297","ES768809","ESR11388"
"298","ES768810","ESR11386"
"299","ES768810","ESR11387"
"300","ES768810","ESR11388"
"301","ES768811","ESR11386"
"302","ES768811","ESR11387"
"303","ES768811","ESR11388"
"304","ES768812","ESR11386"
"305","ES768812","ESR11387"
"306","ES768812","ESR11388"
"307","ES768813","ESR11386"
"308","ES768813","ESR11387"
"309","ES768813","ESR11388"
"310","ES768814","ESR11386"
"311","ES768814","ESR11387"
"312","ES768814","ESR11388"
"313","ES768815","ESR11386"
"314","ES768815","ESR11387"
"315","ES768815","ESR11388"
"316","ES768816","ESR11386"
"317","ES768816","ESR11387"
"318","ES768816","ESR11388"
"319","ES768817","ESR11386"
"320","ES768817","ESR11387"
"321","ES768817","ESR11388"
"322","ES768818","ESR11386"
"323","ES768818","ESR11387"
"324","ES768818","ESR11388"
"325","ES768819","ESR11386"
"326","ES768819","ESR11387"
"327","ES768819","ESR11388"
"328","ES768820","ESR11386"
"329","ES768820","ESR11387"
"330","ES768820","ESR11388"
"331","ES768821","ESR11386"
"332","ES768821","ESR11387"
"333","ES768821","ESR11388"
"334","ES768822","ESR11386"
"335","ES768822","ESR11387"
"336","ES768822","ESR11388"
"337","ES768823","ESR11386"
"338","ES768823","ESR11387"
"339","ES768823","ESR11388"
"340","ES768824","ESR11386"
"341","ES768824","ESR11387"
"342","ES768824","ESR11388"
"343","ES768825","ESR11386"
"344","ES768825","ESR11387"
"345","ES768825","ESR11388"
"346","ES768826","ESR11386"
"347","ES768826","ESR11387"
"348","ES768826","ESR11388"
"349","ES768827","ESR11386"
"350","ES768827","ESR11387"
"351","ES768827","ESR11388"
"352","ES768828","ESR11386"
"353","ES768828","ESR11387"
"354","ES768828","ESR11388"
"355","ES768829","ESR11386"
"356","ES768829","ESR11387"
"357","ES768829","ESR11388"
"358","ES768830","ESR11386"
"359","ES768830","ESR11387"
"360","ES768830","ESR11388"
"361","ES768831","ESR11386"
"362","ES768831","ESR11387"
"363","ES768831","ESR11388"
"364","ES768832","ESR11386"
"365","ES768832","ESR11387"
"366","ES768832","ESR11388"
"367","ES768833","ESR11386"
"368","ES768833","ESR11387"
"369","ES768833","ESR11388"
"370","ES768834","ESR11386"
"371","ES768834","ESR11387"
"372","ES768834","ESR11388"
"373","ES768835","ESR11386"
"374","ES768835","ESR11387"
"375","ES768835","ESR11388"
"376","ES768836","ESR11386"
"377","ES768836","ESR11387"
"378","ES768836","ESR11388"
"379","ES768837","ESR11386"
"380","ES768837","ESR11387"
"381","ES768837","ESR11388"
"382","ES768838","ESR11386"
"383","ES768838","ESR11387"
"384","ES768838","ESR11388"
"385","ES768839","ESR11386"
"386","ES768839","ESR11387"
"387","ES768839","ESR11388"
"388","ES768840","ESR11386"
"389","ES768840","ESR11387"
"390","ES768840","ESR11388"
"391","ES768841","ESR11386"
"392","ES768841","ESR11387"
"393","ES768841","ESR11388"
"394","ES768842","ESR11386"
"395","ES768842","ESR11387"
"396","ES768842","ESR11388"
"397","ES768843","ESR11386"
"398","ES768843","ESR11387"
"399","ES768843","ESR11388"
"400","ES768844","ESR11386"
"401","ES768844","ESR11387"
"402","ES768844","ESR11388"
"403","ES768845","ESR11386"
"404","ES768845","ESR11387"
"405","ES768845","ESR11388"
"406","ES768846","ESR11386"
"407","ES768846","ESR11387"
"408","ES768846","ESR11388"
"409","ES768847","ESR11386"
"410","ES768847","ESR11387"
"411","ES768847","ESR11388"
"412","ES768848","ESR11386"
"413","ES768848","ESR11387"
"414","ES768848","ESR11388"
"415","ES768849","ESR11386"
"416","ES768849","ESR11387"
"417","ES768849","ESR11388"
"418","ES768850","ESR11386"
"419","ES768850","ESR11387"
"420","ES768850","ESR11388"
"421","ES768851","ESR11386"
"422","ES768851","ESR11387"
"423","ES768851","ESR11388"
"424","ES768852","ESR11386"
"425","ES768852","ESR11387"
"426","ES768852","ESR11388"
"427","ES768853","ESR11386"
"428","ES768853","ESR11387"
"429","ES768853","ESR11388"
"430","ES768854","ESR11386"
"431","ES768854","ESR11387"
"432","ES768854","ESR11388"
"433","ES768855","ESR11386"
"434","ES768855","ESR11387"
"435","ES768855","ESR11388"
"436","ES768856","ESR11386"
"437","ES768856","ESR11387"
"438","ES768856","ESR11388"
"439","ES768857","ESR11386"
"440","ES768857","ESR11387"
"441","ES768857","ESR11388"
"442","ES768858","ESR11386"
"443","ES768858","ESR11387"
"444","ES768858","ESR11388"
"445","ES778317","ESR11481"
"446","ES778318","ESR11481"
"447","ES778319","ESR11481"
"448","ES778320","ESR11481"
"449","ES778321","ESR11481"
"450","ES778322","ESR11481"
"451","ES778323","ESR11481"
"452","ES778324","ESR11481"
"453","ES778325","ESR11481"
"454","ES778326","ESR11481"
"455","ES778327","ESR11481"
"456","ES778328","ESR11481"
"457","ES778329","ESR11481"
"458","ES778330","ESR11481"
"459","ES778331","ESR11481"
"460","ES778332","ESR11481"
"461","ES778333","ESR11481"
"462","ES778334","ESR11481"
"463","ES778335","ESR11481"
"464","ES778336","ESR11481"
"465","ES778337","ESR11481"
"466","ES778338","ESR11481"
"467","ES778339","ESR11481"
"468","ES778340","ESR11481"
"469","ES778341","ESR11481"
"470","ES778342","ESR11481"
"471","ES778343","ESR11481"
"472","ES778344","ESR11481"
"473","ES778345","ESR11481"
"474","ES778346","ESR11481"
"475","ES778347","ESR11481"
"476","ES778348","ESR11481"
"477","ES778349","ESR11481"
"478","ES778350","ESR11481"
"479","ES778351","ESR11481"
"480","ES778352","ESR11481"
"481","ES778353","ESR11481"
"482","ES778354","ESR11481"
"483","ES778355","ESR11481"
"484","ES778356","ESR11481"
"485","ES778357","ESR11481"
"486","ES778358","ESR11481"
"487","ES778359","ESR11481"
"488","ES778360","ESR11481"
"489","ES778361","ESR11481"
"490","ES778362","ESR11481"
"491","ES778363","ESR11481"
"492","ES778364","ESR11481"
"493","ES778365","ESR11481"
"494","ES778366","ESR11481"
"495","ES778367","ESR11481"
"496","ES778368","ESR11481"
"497","ES778369","ESR11481"
"498","ES778370","ESR11481"
"499","ES778371","ESR11481"
"500","ES778372","ESR11481"
"501","ES778373","ESR11481"
"502","ES778374","ESR11481"
"503","ES778375","ESR11481"
"504","ES778376","ESR11481"
"505","ES778377","ESR11481"
"506","ES778378","ESR11481"
"507","ES778379","ESR11481"
"508","ES778380","ESR11481"
"509","ES778381","ESR11481"
"510","ES778382","ESR11481"
"511","ES778383","ESR11481"
"512","ES778384","ESR11481"
"513","ES778385","ESR11481"
"514","ES778386","ESR11481"
"515","ES778387","ESR11481"
"516","ES778388","ESR11481"
"517","ES778389","ESR11481"
"518","ES778390","ESR11481"
"519","ES778391","ESR11481"
"520","ES778392","ESR11481"
"521","ES778393","ESR11481"
"522","ES778394","ESR11481"
"523","ES778395","ESR11481"
"524","ES778396","ESR11481"
"525","ES778397","ESR11481"
"526","ES778398","ESR11481"
"527","ES778399","ESR11481"
"528","ES778400","ESR11481"
"529","ES778401","ESR11481"
"530","ES778402","ESR11481"
"531","ES778403","ESR11481"
"532","ES778404","ESR11481"
"533","ES778405","ESR11481"
"534","ES778406","ESR11481"
"535","ES778407","ESR11481"
"536","ES778408","ESR11481"
"537","ES778409","ESR11481"
"538","ES778410","ESR11481"
"539","ES778411","ESR11481"
"540","ES778412","ESR11481"
"541","ES778413","ESR11481"
"542","ES778414","ESR11481"
"543","ES778415","ESR11481"
"544","ES778416","ESR11481"
"545","ES778417","ESR11481"
"546","ES778418","ESR11481"
"547","ES778419","ESR11481"
"548","ES778420","ESR11481"
"549","ES778421","ESR11481"
"550","ES778422","ESR11481"
"551","ES778423","ESR11481"
"552","ES778424","ESR11481"
"553","ES778425","ESR11481"
"554","ES778426","ESR11481"
"555","ES778427","ESR11481"
"556","ES778428","ESR11481"
"557","ES778429","ESR11481"
"558","ES778430","ESR11481"
"559","ES778431","ESR11481"
"560","ES778432","ESR11481"
"561","ES778433","ESR11481"
"562","ES778434","ESR11481"
"563","ES778435","ESR11481"
"564","ES778436","ESR11481"
"565","ES778437","ESR11481"
"566","ES778438","ESR11481"
"567","ES778439","ESR11481"
"568","ES778440","ESR11481"
"569","ES778441","ESR11481"
"570","ES778442","ESR11481"
"571","ES778443","ESR11481"
"572","ES778444","ESR11481"
"573","ES778445","ESR11481"
"574","ES778446","ESR11481"
"575","ES778447","ESR11481"
"576","ES778448","ESR11481"
"577","ES778449","ESR11481"
"578","ES778450","ESR11481"
"579","ES778451","ESR11481"
"580","ES778452","ESR11481"
"581","ES778453","ESR11481"
"582","ES778454","ESR11481"
"583","ES778455","ESR11481"
"584","ES778456","ESR11481"
"585","ES778457","ESR11481"
"586","ES778458","ESR11481"
"587","ES778459","ESR11481"
"588","ES778460","ESR11481"
"589","ES778461","ESR11481"
"590","ES778462","ESR11481"
"591","ES778463","ESR11481"
"592","ES778464","ESR11481"
"593","ES778465","ESR11481"
"594","ES778466","ESR11481"
"595","ES778467","ESR11481"
"596","ES778468","ESR11481"
"597","ES778469","ESR11481"
"598","ES778470","ESR11481"
"599","ES778471","ESR11481"
"600","ES778472","ESR11481"
"601","ES778473","ESR11481"
"602","ES778474","ESR11481"
"603","ES778475","ESR11481"
"604","ES778476","ESR11481"
"605","ES778477","ESR11481"
"606","ES778478","ESR11481"
"607","ES778479","ESR11481"
"608","ES778480","ESR11481"
"609","ES778481","ESR11481"
"610","ES778482","ESR11481"
"611","ES778483","ESR11481"
"612","ES778484","ESR11481"
"613","ES778485","ESR11481"
"614","ES778486","ESR11481"
"615","ES778487","ESR11481"
"616","ES778488","ESR11481"
"617","ES778489","ESR11481"
"618","ES778490","ESR11481"
"619","ES778491","ESR11481"
"620","ES778492","ESR11481"
"621","ES778493","ESR11481"
"622","ES778494","ESR11481"
"623","ES778495","ESR11481"
"624","ES778496","ESR11481"
"625","ES778497","ESR11481"
"626","ES778498","ESR11481"
"627","ES778499","ESR11481"
"628","ES778500","ESR11481"
"629","ES778501","ESR11481"
"630","ES778502","ESR11481"
"631","ES778503","ESR11481"
"632","ES778504","ESR11481"
"633","ES778505","ESR11481"
"634","ES778506","ESR11481"
"635","ES778507","ESR11481"
"636","ES778508","ESR11481"
"637","ES778509","ESR11481"
"638","ES778510","ESR11481"
"639","ES778511","ESR11481"
"640","ES778512","ESR11481"
"641","ES778513","ESR11481"
"642","ES778514","ESR11481"
"643","ES778515","ESR11481"
"644","ES778516","ESR11481"
"645","ES778517","ESR11481"
"646","ES778518","ESR11481"
"647","ES778519","ESR11481"
"648","ES778520","ESR11481"
"649","ES778521","ESR11481"
"650","ES778522","ESR11481"
"651","ES778523","ESR11481"
"652","ES778524","ESR11481"
"653","ES778525","ESR11481"
"654","ES778526","ESR11481"
"655","ES778527","ESR11481"
"656","ES778528","ESR11481"
"657","ES778529","ESR11481"
"658","ES778530","ESR11481"
"659","ES778531","ESR11481"
"660","ES778532","ESR11481"
"661","ES778533","ESR11481"
"662","ES778534","ESR11481"
"663","ES778535","ESR11481"
"664","ES785588","ESR11417"
"665","ES785589","ESR11418"
"666","ES785590","ESR11419"
"667","ES785591","ESR11417"
"668","ES785592","ESR11418"
"669","ES785593","ESR11419"
"670","ES785594","ESR11417"
"671","ES785595","ESR11418"
"672","ES785596","ESR11419"
"673","ES785597","ESR11417"
"674","ES785598","ESR11418"
"675","ES785599","ESR11419"
"676","ES785600","ESR11417"
"677","ES785601","ESR11418"
"678","ES785602","ESR11419"
"679","ES785603","ESR11417"
"680","ES785604","ESR11418"
"681","ES785605","ESR11419"
"682","ES785606","ESR11417"
"683","ES785607","ESR11418"
"684","ES785608","ESR11419"
"685","ES785609","ESR11417"
"686","ES785610","ESR11418"
"687","ES785611","ESR11419"
"688","ES785612","ESR11417"
"689","ES785613","ESR11418"
"690","ES785614","ESR11419"
"691","ES785615","ESR11417"
"692","ES785616","ESR11418"
"693","ES785617","ESR11419"
"694","ES785618","ESR11417"
"695","ES785619","ESR11418"
"696","ES785620","ESR11419"
"697","ES785621","ESR11417"
"698","ES785622","ESR11418"
"699","ES785623","ESR11419"
"700","ES785624","ESR11417"
"701","ES785625","ESR11418"
"702","ES785626","ESR11419"
"703","ES785627","ESR11417"
"704","ES785628","ESR11418"
"705","ES785629","ESR11419"
"706","ES785630","ESR11417"
"707","ES785631","ESR11418"
"708","ES785632","ESR11419"
"709","ES785633","ESR11417"
"710","ES785634","ESR11418"
"711","ES785635","ESR11419"
"712","ES785636","ESR11417"
"713","ES785637","ESR11418"
"714","ES785638","ESR11419"
"715","ES785639","ESR11417"
"716","ES785640","ESR11418"
"717","ES785641","ESR11419"
"718","ES785642","ESR11417"
"719","ES785643","ESR11418"
"720","ES785644","ESR11419"
"721","ES785645","ESR11417"
"722","ES785646","ESR11418"
"723","ES785647","ESR11419"
"724","ES785648","ESR11417"
"725","ES785649","ESR11418"
"726","ES785650","ESR11419"
"727","ES785651","ESR11417"
