"","EXPSAMPLE_ACCESSION","TREATMENT_ACCESSION"
"1","ES768711","TRT1105"
"2","ES768712","TRT1105"
"3","ES768713","TRT1105"
"4","ES768714","TRT1105"
"5","ES768715","TRT1105"
"6","ES768716","TRT1105"
"7","ES768717","TRT1105"
"8","ES768718","TRT1105"
"9","ES768719","TRT1105"
"10","ES768720","TRT1105"
"11","ES768721","TRT1105"
"12","ES768722","TRT1105"
"13","ES768723","TRT1105"
"14","ES768724","TRT1105"
"15","ES768725","TRT1105"
"16","ES768726","TRT1105"
"17","ES768727","TRT1105"
"18","ES768728","TRT1105"
"19","ES768729","TRT1105"
"20","ES768730","TRT1105"
"21","ES768731","TRT1105"
"22","ES768732","TRT1105"
"23","ES768733","TRT1105"
"24","ES768734","TRT1105"
"25","ES768735","TRT1105"
"26","ES768736","TRT1105"
"27","ES768737","TRT1105"
"28","ES768738","TRT1105"
"29","ES768739","TRT1105"
"30","ES768740","TRT1105"
"31","ES768741","TRT1105"
"32","ES768742","TRT1105"
"33","ES768743","TRT1105"
"34","ES768744","TRT1105"
"35","ES768745","TRT1105"
"36","ES768746","TRT1105"
"37","ES768747","TRT1105"
"38","ES768748","TRT1105"
"39","ES768749","TRT1105"
"40","ES768750","TRT1105"
"41","ES768751","TRT1105"
"42","ES768752","TRT1105"
"43","ES768753","TRT1105"
"44","ES768754","TRT1105"
"45","ES768755","TRT1105"
"46","ES768756","TRT1105"
"47","ES768757","TRT1105"
"48","ES768758","TRT1105"
"49","ES768759","TRT1105"
"50","ES768760","TRT1105"
"51","ES768761","TRT1105"
"52","ES768762","TRT1105"
"53","ES768763","TRT1105"
"54","ES768764","TRT1105"
"55","ES768765","TRT1105"
"56","ES768766","TRT1105"
"57","ES768767","TRT1105"
"58","ES768768","TRT1105"
"59","ES768769","TRT1105"
"60","ES768770","TRT1105"
"61","ES768771","TRT1105"
"62","ES768772","TRT1105"
"63","ES768773","TRT1105"
"64","ES768774","TRT1105"
"65","ES768775","TRT1105"
"66","ES768776","TRT1105"
"67","ES768777","TRT1105"
"68","ES768778","TRT1105"
"69","ES768779","TRT1105"
"70","ES768780","TRT1105"
"71","ES768781","TRT1105"
"72","ES768782","TRT1105"
"73","ES768783","TRT1105"
"74","ES768784","TRT1105"
"75","ES768785","TRT1105"
"76","ES768786","TRT1105"
"77","ES768787","TRT1105"
"78","ES768788","TRT1105"
"79","ES768789","TRT1105"
"80","ES768790","TRT1105"
"81","ES768791","TRT1105"
"82","ES768792","TRT1105"
"83","ES768793","TRT1105"
"84","ES768794","TRT1105"
"85","ES768795","TRT1105"
"86","ES768796","TRT1105"
"87","ES768797","TRT1105"
"88","ES768798","TRT1105"
"89","ES768799","TRT1105"
"90","ES768800","TRT1105"
"91","ES768801","TRT1105"
"92","ES768802","TRT1105"
"93","ES768803","TRT1105"
"94","ES768804","TRT1105"
"95","ES768805","TRT1105"
"96","ES768806","TRT1105"
"97","ES768807","TRT1105"
"98","ES768808","TRT1105"
"99","ES768809","TRT1105"
"100","ES768810","TRT1105"
"101","ES768811","TRT1105"
"102","ES768812","TRT1105"
"103","ES768813","TRT1105"
"104","ES768814","TRT1105"
"105","ES768815","TRT1105"
"106","ES768816","TRT1105"
"107","ES768817","TRT1105"
"108","ES768818","TRT1105"
"109","ES768819","TRT1105"
"110","ES768820","TRT1105"
"111","ES768821","TRT1105"
"112","ES768822","TRT1105"
"113","ES768823","TRT1105"
"114","ES768824","TRT1105"
"115","ES768825","TRT1105"
"116","ES768826","TRT1105"
"117","ES768827","TRT1105"
"118","ES768828","TRT1105"
"119","ES768829","TRT1105"
"120","ES768830","TRT1105"
"121","ES768831","TRT1105"
"122","ES768832","TRT1105"
"123","ES768833","TRT1105"
"124","ES768834","TRT1105"
"125","ES768835","TRT1105"
"126","ES768836","TRT1105"
"127","ES768837","TRT1105"
"128","ES768838","TRT1105"
"129","ES768839","TRT1105"
"130","ES768840","TRT1105"
"131","ES768841","TRT1105"
"132","ES768842","TRT1105"
"133","ES768843","TRT1105"
"134","ES768844","TRT1105"
"135","ES768845","TRT1105"
"136","ES768846","TRT1105"
"137","ES768847","TRT1105"
"138","ES768848","TRT1105"
"139","ES768849","TRT1105"
"140","ES768850","TRT1105"
"141","ES768851","TRT1105"
"142","ES768852","TRT1105"
"143","ES768853","TRT1105"
"144","ES768854","TRT1105"
"145","ES768855","TRT1105"
"146","ES768856","TRT1105"
"147","ES768857","TRT1105"
"148","ES768858","TRT1105"
"149","ES778317","TRT1105"
"150","ES778318","TRT1105"
"151","ES778319","TRT1105"
"152","ES778320","TRT1105"
"153","ES778321","TRT1105"
"154","ES778322","TRT1105"
"155","ES778323","TRT1105"
"156","ES778324","TRT1105"
"157","ES778325","TRT1105"
"158","ES778326","TRT1105"
"159","ES778327","TRT1105"
"160","ES778328","TRT1105"
"161","ES778329","TRT1105"
"162","ES778330","TRT1105"
"163","ES778331","TRT1105"
"164","ES778332","TRT1105"
"165","ES778333","TRT1105"
"166","ES778334","TRT1105"
"167","ES778335","TRT1105"
"168","ES778336","TRT1105"
"169","ES778337","TRT1105"
"170","ES778338","TRT1105"
"171","ES778339","TRT1105"
"172","ES778340","TRT1105"
"173","ES778341","TRT1105"
"174","ES778342","TRT1105"
"175","ES778343","TRT1105"
"176","ES778344","TRT1105"
"177","ES778345","TRT1105"
"178","ES778346","TRT1105"
"179","ES778347","TRT1105"
"180","ES778348","TRT1105"
"181","ES778349","TRT1105"
"182","ES778350","TRT1105"
"183","ES778351","TRT1105"
"184","ES778352","TRT1105"
"185","ES778353","TRT1105"
"186","ES778354","TRT1105"
"187","ES778355","TRT1105"
"188","ES778356","TRT1105"
"189","ES778357","TRT1105"
"190","ES778358","TRT1105"
"191","ES778359","TRT1105"
"192","ES778360","TRT1105"
"193","ES778361","TRT1105"
"194","ES778362","TRT1105"
"195","ES778363","TRT1105"
"196","ES778364","TRT1105"
"197","ES778365","TRT1105"
"198","ES778366","TRT1105"
"199","ES778367","TRT1105"
"200","ES778368","TRT1105"
"201","ES778369","TRT1105"
"202","ES778370","TRT1105"
"203","ES778371","TRT1105"
"204","ES778372","TRT1105"
"205","ES778373","TRT1105"
"206","ES778374","TRT1105"
"207","ES778375","TRT1105"
"208","ES778376","TRT1105"
"209","ES778377","TRT1105"
"210","ES778378","TRT1105"
"211","ES778379","TRT1105"
"212","ES778380","TRT1105"
"213","ES778381","TRT1105"
"214","ES778382","TRT1105"
"215","ES778383","TRT1105"
"216","ES778384","TRT1105"
"217","ES778385","TRT1105"
"218","ES778386","TRT1105"
"219","ES778387","TRT1105"
"220","ES778388","TRT1105"
"221","ES778389","TRT1105"
"222","ES778390","TRT1105"
"223","ES778391","TRT1105"
"224","ES778392","TRT1105"
"225","ES778393","TRT1105"
"226","ES778394","TRT1105"
"227","ES778395","TRT1105"
"228","ES778396","TRT1105"
"229","ES778397","TRT1105"
"230","ES778398","TRT1105"
"231","ES778399","TRT1105"
"232","ES778400","TRT1105"
"233","ES778401","TRT1105"
"234","ES778402","TRT1105"
"235","ES778403","TRT1105"
"236","ES778404","TRT1105"
"237","ES778405","TRT1105"
"238","ES778406","TRT1105"
"239","ES778407","TRT1105"
"240","ES778408","TRT1105"
"241","ES778409","TRT1105"
"242","ES778410","TRT1105"
"243","ES778411","TRT1105"
"244","ES778412","TRT1105"
"245","ES778413","TRT1105"
"246","ES778414","TRT1105"
"247","ES778415","TRT1105"
"248","ES778416","TRT1105"
"249","ES778417","TRT1105"
"250","ES778418","TRT1105"
"251","ES778419","TRT1105"
"252","ES778420","TRT1105"
"253","ES778421","TRT1105"
"254","ES778422","TRT1105"
"255","ES778423","TRT1105"
"256","ES778424","TRT1105"
"257","ES778425","TRT1105"
"258","ES778426","TRT1105"
"259","ES778427","TRT1105"
"260","ES778428","TRT1105"
"261","ES778429","TRT1105"
"262","ES778430","TRT1105"
"263","ES778431","TRT1105"
"264","ES778432","TRT1105"
"265","ES778433","TRT1105"
"266","ES778434","TRT1105"
"267","ES778435","TRT1105"
"268","ES778436","TRT1105"
"269","ES778437","TRT1105"
"270","ES778438","TRT1105"
"271","ES778439","TRT1105"
"272","ES778440","TRT1105"
"273","ES778441","TRT1105"
"274","ES778442","TRT1105"
"275","ES778443","TRT1105"
"276","ES778444","TRT1105"
"277","ES778445","TRT1105"
"278","ES778446","TRT1105"
"279","ES778447","TRT1105"
"280","ES778448","TRT1105"
"281","ES778449","TRT1105"
"282","ES778450","TRT1105"
"283","ES778451","TRT1105"
"284","ES778452","TRT1105"
"285","ES778453","TRT1105"
"286","ES778454","TRT1105"
"287","ES778455","TRT1105"
"288","ES778456","TRT1105"
"289","ES778457","TRT1105"
"290","ES778458","TRT1105"
"291","ES778459","TRT1105"
"292","ES778460","TRT1105"
"293","ES778461","TRT1105"
"294","ES778462","TRT1105"
"295","ES778463","TRT1105"
"296","ES778464","TRT1105"
"297","ES778465","TRT1105"
"298","ES778466","TRT1105"
"299","ES778467","TRT1105"
"300","ES778468","TRT1105"
"301","ES778469","TRT1105"
"302","ES778470","TRT1105"
"303","ES778471","TRT1105"
"304","ES778472","TRT1105"
"305","ES778473","TRT1105"
"306","ES778474","TRT1105"
"307","ES778475","TRT1105"
"308","ES778476","TRT1105"
"309","ES778477","TRT1105"
"310","ES778478","TRT1105"
"311","ES778479","TRT1105"
"312","ES778480","TRT1105"
"313","ES778481","TRT1105"
"314","ES778482","TRT1105"
"315","ES778483","TRT1105"
"316","ES778484","TRT1105"
"317","ES778485","TRT1105"
"318","ES778486","TRT1105"
"319","ES778487","TRT1105"
"320","ES778488","TRT1105"
"321","ES778489","TRT1105"
"322","ES778490","TRT1105"
"323","ES778491","TRT1105"
"324","ES778492","TRT1105"
"325","ES778493","TRT1105"
"326","ES778494","TRT1105"
"327","ES778495","TRT1105"
"328","ES778496","TRT1105"
"329","ES778497","TRT1105"
"330","ES778498","TRT1105"
"331","ES778499","TRT1105"
"332","ES778500","TRT1105"
"333","ES778501","TRT1105"
"334","ES778502","TRT1105"
"335","ES778503","TRT1105"
"336","ES778504","TRT1105"
"337","ES778505","TRT1105"
"338","ES778506","TRT1105"
"339","ES778507","TRT1105"
"340","ES778508","TRT1105"
"341","ES778509","TRT1105"
"342","ES778510","TRT1105"
"343","ES778511","TRT1105"
"344","ES778512","TRT1105"
"345","ES778513","TRT1105"
"346","ES778514","TRT1105"
"347","ES778515","TRT1105"
"348","ES778516","TRT1105"
"349","ES778517","TRT1105"
"350","ES778518","TRT1105"
"351","ES778519","TRT1105"
"352","ES778520","TRT1105"
"353","ES778521","TRT1105"
"354","ES778522","TRT1105"
"355","ES778523","TRT1105"
"356","ES778524","TRT1105"
"357","ES778525","TRT1105"
"358","ES778526","TRT1105"
"359","ES778527","TRT1105"
"360","ES778528","TRT1105"
"361","ES778529","TRT1105"
"362","ES778530","TRT1105"
"363","ES778531","TRT1105"
"364","ES778532","TRT1105"
"365","ES778533","TRT1105"
"366","ES778534","TRT1105"
"367","ES778535","TRT1105"
"368","ES785588","TRT1105"
"369","ES785589","TRT1105"
"370","ES785590","TRT1105"
"371","ES785591","TRT1105"
"372","ES785592","TRT1105"
"373","ES785593","TRT1105"
"374","ES785594","TRT1105"
"375","ES785595","TRT1105"
"376","ES785596","TRT1105"
"377","ES785597","TRT1105"
"378","ES785598","TRT1105"
"379","ES785599","TRT1105"
"380","ES785600","TRT1105"
"381","ES785601","TRT1105"
"382","ES785602","TRT1105"
"383","ES785603","TRT1105"
"384","ES785604","TRT1105"
"385","ES785605","TRT1105"
"386","ES785606","TRT1105"
"387","ES785607","TRT1105"
"388","ES785608","TRT1105"
"389","ES785609","TRT1105"
"390","ES785610","TRT1105"
"391","ES785611","TRT1105"
"392","ES785612","TRT1105"
"393","ES785613","TRT1105"
"394","ES785614","TRT1105"
"395","ES785615","TRT1105"
"396","ES785616","TRT1105"
"397","ES785617","TRT1105"
"398","ES785618","TRT1105"
"399","ES785619","TRT1105"
"400","ES785620","TRT1105"
"401","ES785621","TRT1105"
"402","ES785622","TRT1105"
"403","ES785623","TRT1105"
"404","ES785624","TRT1105"
"405","ES785625","TRT1105"
"406","ES785626","TRT1105"
"407","ES785627","TRT1105"
"408","ES785628","TRT1105"
"409","ES785629","TRT1105"
"410","ES785630","TRT1105"
"411","ES785631","TRT1105"
"412","ES785632","TRT1105"
"413","ES785633","TRT1105"
"414","ES785634","TRT1105"
"415","ES785635","TRT1105"
"416","ES785636","TRT1105"
"417","ES785637","TRT1105"
"418","ES785638","TRT1105"
"419","ES785639","TRT1105"
"420","ES785640","TRT1105"
"421","ES785641","TRT1105"
"422","ES785642","TRT1105"
"423","ES785643","TRT1105"
"424","ES785644","TRT1105"
"425","ES785645","TRT1105"
"426","ES785646","TRT1105"
"427","ES785647","TRT1105"
"428","ES785648","TRT1105"
"429","ES785649","TRT1105"
"430","ES785650","TRT1105"
"431","ES785651","TRT1105"
"432","ES785652","TRT1105"
"433","ES785653","TRT1105"
"434","ES785654","TRT1105"
"435","ES785655","TRT1105"
"436","ES785656","TRT1105"
"437","ES785657","TRT1105"
"438","ES785658","TRT1105"
"439","ES785659","TRT1105"
"440","ES785660","TRT1105"
"441","ES785661","TRT1105"
"442","ES785662","TRT1105"
"443","ES785663","TRT1105"
"444","ES785664","TRT1105"
"445","ES785665","TRT1105"
"446","ES785666","TRT1105"
"447","ES785667","TRT1105"
"448","ES785668","TRT1105"
"449","ES785669","TRT1105"
"450","ES785670","TRT1105"
"451","ES785671","TRT1105"
"452","ES785672","TRT1105"
"453","ES785673","TRT1105"
"454","ES785674","TRT1105"
"455","ES785675","TRT1105"
"456","ES785676","TRT1105"
"457","ES785677","TRT1105"
"458","ES785678","TRT1105"
"459","ES785679","TRT1105"
"460","ES785680","TRT1105"
"461","ES785681","TRT1105"
"462","ES785682","TRT1105"
"463","ES785683","TRT1105"
"464","ES785684","TRT1105"
"465","ES785685","TRT1105"
"466","ES785686","TRT1105"
"467","ES785687","TRT1105"
"468","ES785688","TRT1105"
"469","ES785761","TRT1105"
"470","ES785762","TRT1105"
"471","ES785763","TRT1105"
"472","ES785764","TRT1105"
"473","ES785765","TRT1105"
"474","ES785766","TRT1105"
"475","ES785767","TRT1105"
"476","ES785768","TRT1105"
"477","ES785769","TRT1105"
"478","ES785770","TRT1105"
"479","ES785771","TRT1105"
"480","ES785772","TRT1105"
"481","ES785773","TRT1105"
"482","ES785774","TRT1105"
"483","ES785775","TRT1105"
"484","ES785776","TRT1105"
"485","ES785777","TRT1105"
"486","ES785778","TRT1105"
"487","ES785779","TRT1105"
"488","ES785780","TRT1105"
"489","ES785781","TRT1105"
"490","ES785782","TRT1105"
"491","ES785783","TRT1105"
"492","ES785784","TRT1105"
"493","ES785785","TRT1105"
"494","ES785786","TRT1105"
"495","ES785787","TRT1105"
"496","ES785788","TRT1105"
"497","ES785789","TRT1105"
"498","ES785790","TRT1105"
"499","ES785791","TRT1105"
"500","ES785792","TRT1105"
"501","ES785793","TRT1105"
"502","ES785794","TRT1105"
"503","ES785795","TRT1105"
"504","ES785796","TRT1105"
"505","ES785797","TRT1105"
"506","ES785798","TRT1105"
"507","ES785799","TRT1105"
"508","ES785800","TRT1105"
"509","ES785801","TRT1105"
"510","ES785802","TRT1105"
"511","ES785803","TRT1105"
"512","ES785804","TRT1105"
"513","ES785805","TRT1105"
"514","ES785806","TRT1105"
"515","ES785807","TRT1105"
"516","ES785808","TRT1105"
"517","ES785809","TRT1105"
"518","ES785810","TRT1105"
"519","ES785811","TRT1105"
"520","ES785812","TRT1105"
"521","ES785813","TRT1105"
"522","ES785814","TRT1105"
"523","ES785815","TRT1105"
"524","ES785816","TRT1105"
"525","ES785817","TRT1105"
"526","ES785818","TRT1105"
"527","ES785819","TRT1105"
"528","ES785820","TRT1105"
"529","ES785821","TRT1105"
"530","ES785822","TRT1105"
"531","ES785823","TRT1105"
"532","ES785824","TRT1105"
"533","ES785825","TRT1105"
"534","ES785826","TRT1105"
"535","ES785827","TRT1105"
"536","ES785828","TRT1105"
"537","ES785829","TRT1105"
"538","ES785830","TRT1105"
"539","ES785831","TRT1105"
"540","ES785832","TRT1105"
"541","ES785833","TRT1105"
"542","ES785834","TRT1105"
"543","ES785835","TRT1105"
"544","ES785836","TRT1105"
"545","ES785837","TRT1105"
"546","ES785838","TRT1105"
"547","ES785839","TRT1105"
"548","ES785840","TRT1105"
"549","ES785841","TRT1105"
"550","ES785842","TRT1105"
"551","ES785843","TRT1105"
"552","ES785844","TRT1105"
"553","ES785845","TRT1105"
"554","ES785846","TRT1105"
"555","ES785847","TRT1105"
"556","ES785848","TRT1105"
"557","ES785849","TRT1105"
"558","ES785850","TRT1105"
"559","ES785851","TRT1105"
"560","ES785852","TRT1105"
"561","ES785853","TRT1105"
"562","ES785854","TRT1105"
"563","ES785855","TRT1105"
"564","ES785856","TRT1105"
"565","ES785857","TRT1105"
"566","ES785858","TRT1105"
"567","ES785859","TRT1105"
"568","ES785860","TRT1105"
"569","ES785861","TRT1105"
"570","ES785862","TRT1105"
"571","ES785863","TRT1105"
"572","ES785864","TRT1105"
"573","ES785865","TRT1105"
"574","ES785866","TRT1105"
"575","ES785867","TRT1105"
"576","ES785868","TRT1105"
"577","ES785869","TRT1105"
"578","ES785870","TRT1105"
"579","ES785871","TRT1105"
"580","ES785872","TRT1105"
"581","ES785873","TRT1105"
"582","ES785874","TRT1105"
"583","ES785875","TRT1105"
"584","ES785876","TRT1105"
"585","ES785877","TRT1105"
"586","ES785878","TRT1105"
"587","ES785879","TRT1105"
"588","ES785880","TRT1105"
"589","ES785881","TRT1105"
"590","ES785882","TRT1105"
"591","ES785883","TRT1105"
"592","ES785884","TRT1105"
"593","ES785885","TRT1105"
"594","ES785886","TRT1105"
"595","ES785887","TRT1105"
"596","ES785888","TRT1105"
"597","ES785889","TRT1105"
"598","ES785890","TRT1105"
"599","ES785891","TRT1105"
"600","ES785892","TRT1105"
"601","ES785893","TRT1105"
"602","ES785894","TRT1105"
"603","ES785895","TRT1105"
"604","ES785896","TRT1105"
"605","ES785897","TRT1105"
"606","ES785898","TRT1105"
"607","ES785899","TRT1105"
"608","ES785900","TRT1105"
"609","ES785901","TRT1105"
"610","ES785902","TRT1105"
"611","ES785903","TRT1105"
"612","ES785904","TRT1105"
"613","ES785905","TRT1105"
"614","ES785906","TRT1105"
"615","ES785907","TRT1105"
"616","ES785908","TRT1105"
"617","ES785909","TRT1105"
"618","ES785910","TRT1105"
"619","ES785911","TRT1105"
"620","ES785912","TRT1105"
"621","ES785913","TRT1105"
"622","ES785914","TRT1105"
"623","ES785915","TRT1105"
"624","ES785916","TRT1105"
"625","ES785917","TRT1105"
"626","ES785918","TRT1105"
"627","ES785919","TRT1105"
"628","ES785920","TRT1105"
"629","ES785921","TRT1105"
"630","ES785922","TRT1105"
"631","ES785923","TRT1105"
"632","ES785924","TRT1105"
"633","ES785925","TRT1105"
"634","ES785926","TRT1105"
"635","ES785927","TRT1105"
"636","ES785928","TRT1105"
"637","ES785929","TRT1105"
"638","ES785930","TRT1105"
"639","ES785931","TRT1105"
"640","ES785932","TRT1105"
"641","ES785933","TRT1105"
"642","ES785934","TRT1105"
"643","ES785935","TRT1105"
"644","ES785936","TRT1105"
"645","ES785937","TRT1105"
"646","ES785938","TRT1105"
"647","ES785939","TRT1105"
"648","ES785940","TRT1105"
"649","ES785941","TRT1105"
"650","ES785942","TRT1105"
"651","ES785943","TRT1105"
"652","ES785944","TRT1105"
"653","ES785945","TRT1105"
"654","ES785946","TRT1105"
"655","ES785947","TRT1105"
"656","ES785948","TRT1105"
"657","ES785949","TRT1105"
"658","ES785950","TRT1105"
"659","ES785951","TRT1105"
"660","ES785952","TRT1105"
"661","ES785953","TRT1105"
"662","ES785954","TRT1105"
"663","ES785955","TRT1105"
"664","ES785956","TRT1105"
"665","ES785957","TRT1105"
"666","ES785958","TRT1105"
"667","ES785959","TRT1105"
"668","ES785960","TRT1105"
"669","ES785961","TRT1105"
"670","ES785962","TRT1105"
"671","ES785963","TRT1105"
"672","ES785964","TRT1105"
"673","ES785965","TRT1105"
"674","ES785966","TRT1105"
"675","ES785967","TRT1105"
"676","ES785968","TRT1105"
"677","ES785969","TRT1105"
"678","ES785970","TRT1105"
"679","ES785971","TRT1105"
"680","ES785972","TRT1105"
"681","ES785973","TRT1105"
"682","ES785974","TRT1105"
"683","ES785975","TRT1105"
"684","ES785976","TRT1105"
"685","ES785977","TRT1105"
"686","ES785978","TRT1105"
"687","ES785979","TRT1105"
"688","ES785980","TRT1105"
"689","ES785981","TRT1105"
"690","ES785982","TRT1105"
"691","ES785983","TRT1105"
"692","ES785984","TRT1105"
"693","ES785985","TRT1105"
"694","ES785986","TRT1105"
"695","ES785987","TRT1105"
"696","ES785988","TRT1105"
"697","ES785989","TRT1105"
"698","ES785990","TRT1105"
"699","ES785991","TRT1105"
"700","ES785992","TRT1105"
"701","ES785993","TRT1105"
"702","ES785994","TRT1105"
"703","ES785995","TRT1105"
"704","ES785996","TRT1105"
"705","ES785997","TRT1105"
"706","ES785998","TRT1105"
"707","ES785999","TRT1105"
"708","ES786000","TRT1105"
"709","ES786001","TRT1105"
"710","ES786002","TRT1105"
"711","ES786003","TRT1105"
"712","ES786004","TRT1105"
"713","ES786005","TRT1105"
"714","ES786006","TRT1105"
"715","ES786007","TRT1105"
"716","ES786008","TRT1105"
"717","ES786009","TRT1105"
"718","ES786010","TRT1105"
